species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000323,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus auratus,Icterus auratus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:5229844.0,14,11,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000324,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus chrysater,Icterus chrysater,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:5229924.0,6,3,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000325,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus cucullatus,Icterus cucullatus,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF; Naturalista,GBIF Backbone:5229882.0; Naturalista/iNaturalist taxonomy:9319,63,29,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx; Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000326,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus galbula,Icterus galbula,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:2484340.0,4,4,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000327,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus gularis,Icterus gularis,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:5229893.0,22,13,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000336,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus prosthemelas,Icterus prosthemelas,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:5229889.0,2,2,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000337,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,icterus spurius,Icterus spurius,SPECIES,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,GBIF,GBIF Backbone:5229935.0,4,3,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000338,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,iguana iguana rhinolopha,Iguana Iguana rhinolopha,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,SNIB,SNIB/CONABIO valid taxonomy:iguana iguana rhinolopha,3,3,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,Sujeta a protección especial (Pr) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Iguana iguana),Preocupación menor (LC) (En IUCN Red List 2025-1 como Iguana iguana (ver Anotación al taxón).),Apéndice II (Publicado en CITES 2022 como Iguana iguana (ver Anotación al taxón).),DOF 2014,,,,source_authority_resolved,source_traceable
SP-000339,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,ipomoea ipomoea pes-caprae,Ipomoea Ipomoea pes-caprae,species,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,SNIB,SNIB/CONABIO valid taxonomy:ipomoea ipomoea pes-caprae,3,3,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000340,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,jacana jacana spinosa,Jacana Jacana spinosa,species,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,SNIB,SNIB/CONABIO valid taxonomy:jacana jacana spinosa,16,13,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
