species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002193,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,coxiellaceae,Coxiellaceae,FAMILY,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,,GBIF; OBIS,GBIF Backbone:5154.0; WoRMS/OBIS:570983,22,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002194,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crassinella crassinella lunulata,Crassinella Crassinella lunulata,species,Animalia,Mollusca,Bivalvia,Carditida,Crassatellidae,Crassinella,SNIB,SNIB/CONABIO valid taxonomy:crassinella crassinella lunulata,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002195,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crassinella lunulata,Crassinella lunulata,SPECIES,Animalia,Mollusca,Bivalvia,Carditida,Crassatellidae,Crassinella,GBIF; OBIS,GBIF Backbone:5188960.0; WoRMS/OBIS:420843,3,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002196,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crenella,Crenella,Genus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Crenella,OBIS; SNIB,WoRMS/OBIS:138216; SNIB/CONABIO valid taxonomy:crenella,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002197,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crenella t.brown 1827,"Crenella T.Brown, 1827",GENUS,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Crenella,GBIF,GBIF Backbone:2285693.0,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002198,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crepidula crepidula plana,Crepidula Crepidula plana,species,Animalia,Mollusca,Gastropoda,No Asignado,Calyptraeidae,Crepidula,SNIB,SNIB/CONABIO valid taxonomy:crepidula crepidula plana,2,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002199,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crepidula plana,Crepidula plana,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,GBIF,GBIF Backbone:5192793.0,3,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002200,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crepipatella crepipatella dilatata,Crepipatella Crepipatella dilatata,species,Animalia,Mollusca,Gastropoda,No Asignado,Calyptraeidae,Crepipatella,SNIB,SNIB/CONABIO valid taxonomy:crepipatella crepipatella dilatata,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002201,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,crepipatella dilatata,Crepipatella dilatata,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepipatella,GBIF,GBIF Backbone:4360387.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002202,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,cronius cronius ruber,Cronius Cronius ruber,species,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Cronius,SNIB,SNIB/CONABIO valid taxonomy:cronius cronius ruber,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
