species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-002681,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epigonus pandionis,Epigonus pandionis,SPECIES,Animalia,Chordata,Teleostei,Perciformes,Epigonidae,Epigonus,GBIF; OBIS,GBIF Backbone:2395033.0; WoRMS/OBIS:159706,12,8,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002683,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus,Epinephelus,Genus,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,OBIS,WoRMS/OBIS:126068,9,8,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002685,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus epinephelus adscensionis,Epinephelus Epinephelus adscensionis,species,Animalia,Chordata,Actinopteri,Perciformes,Epinephelidae,Epinephelus,SNIB,SNIB/CONABIO valid taxonomy:epinephelus epinephelus adscensionis,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-002686,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus epinephelus guttatus,Epinephelus Epinephelus guttatus,species,Animalia,Chordata,Actinopteri,Perciformes,Epinephelidae,Epinephelus,SNIB,SNIB/CONABIO valid taxonomy:epinephelus epinephelus guttatus,6,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Preocupación menor (LC),,CONABIO 2012,,,coordinate_uncertainty_gt_10km; possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-002687,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus epinephelus morio,Epinephelus Epinephelus morio,species,Animalia,Chordata,Actinopteri,Perciformes,Epinephelidae,Epinephelus,SNIB,SNIB/CONABIO valid taxonomy:epinephelus epinephelus morio,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Vulnerable (VU),,CONABIO 2012,,,,source_authority_resolved,source_traceable
SP-002684,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus adscensionis,Epinephelus adscensionis,SPECIES,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus,GBIF; Naturalista; OBIS,GBIF Backbone:2388519.0; Naturalista/iNaturalist taxonomy:49496; WoRMS/OBIS:159351,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_Naturalista.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002688,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus guttatus,Epinephelus guttatus,SPECIES,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus,GBIF; Naturalista,GBIF Backbone:2388558.0; Naturalista/iNaturalist taxonomy:100104,7,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate; coordinate_uncertainty_gt_10km,source_authority_resolved,source_traceable
SP-002689,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epinephelus morio,Epinephelus morio,SPECIES,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,GBIF; OBIS,GBIF Backbone:2388373.0; WoRMS/OBIS:159354,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,VU,,,,,,source_authority_resolved,source_traceable
SP-002690,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,episiphon sowerbyi,Episiphon sowerbyi,SPECIES,Animalia,Mollusca,Scaphopoda,Dentaliida,Gadilinidae,Episiphon,GBIF,GBIF Backbone:2285016.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-002693,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,epitonium epitonium apiculatum,Epitonium Epitonium apiculatum,species,Animalia,Mollusca,Gastropoda,No Asignado,Epitoniidae,Epitonium,SNIB,SNIB/CONABIO valid taxonomy:epitonium epitonium apiculatum,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
