species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-006810,RBBK,Reserva de la Biosfera Balam Kú,antaea licormas,Antaea licormas,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Antaea,GBIF,GBIF Backbone:1825775.0,3,2,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006811,RBBK,Reserva de la Biosfera Balam Kú,antaeotricha,Antaeotricha,,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Antaeotricha,SNIB,SNIB/CONABIO valid taxonomy:antaeotricha,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006812,RBBK,Reserva de la Biosfera Balam Kú,antaeotricha antaeotricha fascicularis,Antaeotricha Antaeotricha fascicularis,species,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Antaeotricha,SNIB,SNIB/CONABIO valid taxonomy:antaeotricha antaeotricha fascicularis,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006814,RBBK,Reserva de la Biosfera Balam Kú,antaeotricha zeller 1854,"Antaeotricha Zeller, 1854",GENUS,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Antaeotricha,GBIF,GBIF Backbone:1838338,2,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006813,RBBK,Reserva de la Biosfera Balam Kú,antaeotricha fascicularis,Antaeotricha fascicularis,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Antaeotricha,GBIF,GBIF Backbone:1838364.0,2,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006815,RBBK,Reserva de la Biosfera Balam Kú,anteos anteos clorinde,Anteos Anteos clorinde,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,SNIB,SNIB/CONABIO valid taxonomy:anteos anteos clorinde,76,12,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate; coordinate_uncertainty_gt_10km,source_authority_resolved,source_traceable
SP-006816,RBBK,Reserva de la Biosfera Balam Kú,anteos anteos maerula,Anteos Anteos maerula,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,SNIB,SNIB/CONABIO valid taxonomy:anteos anteos maerula,161,7,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006817,RBBK,Reserva de la Biosfera Balam Kú,anteos clorinde,Anteos clorinde,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,GBIF; Naturalista,GBIF Backbone:1919130.0; Naturalista/iNaturalist taxonomy:148856.0,77,13,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx; Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,coordinate_uncertainty_gt_10km; possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006818,RBBK,Reserva de la Biosfera Balam Kú,anteos maerula,Anteos maerula,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anteos,GBIF; Naturalista,GBIF Backbone:1919128.0; Naturalista/iNaturalist taxonomy:48578.0,161,7,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx; Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006819,RBBK,Reserva de la Biosfera Balam Kú,anteros carausius,Anteros carausius,SUBSPECIES,Animalia,,,,,Anteros,GBIF,GBIF Backbone:5141108.0,14,3,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006820,RBBK,Reserva de la Biosfera Balam Kú,anthanassa anthanassa frisia tulcis subespecie,Anthanassa Anthanassa frisia tulcis subespecie,species,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa,SNIB,SNIB/CONABIO valid taxonomy:anthanassa anthanassa frisia tulcis subespecie,194,6,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
